## Experimento de responsabilidade de Milson Evaldo Serafim
## (http://lattes.cnpq.br/8676820051946774) que avaliou o nível de cinza
## para compor substratos para mudas de maracujazeiro também com solo
## composto de agregados de diferentes tamanhos e cultivados com duas
## famílias da espécie. O experimento foi feito em blocos (3) e o
## arranjo experimental de fatorial triplo. Variáveis de parte aérea e
## solos foram observadas conforme descrição abaixo.
##
## agreg  : fator de 2 níveis, classe de tamanho dos agragados;
## fam    : fator de 2 níveis, família do maracujá;
## cinz   : fator de 7 níveis, aplicação de cinza (ton ha^{-1});
## bloc   : blocos experimentais;
## mfpa   : massa fresca de parte aérea (g);
## mspa   : massa seca de parte aérea (g);
## ds     : densidade do solo (mg m^{-3});
## agua   : consumo de água durante o ciclo por vaso (1 planta) mL;
## phh2o  : pH do solo (em água);
## phkcl  : pH do solo em KCl;
## pcz    : ponto de carga zero;
## P      : Fósforo;
## K      : Potássio;
## CaMg   : cálcio mais magnésio;
## Ca     : cálcio;
## Mg     : magnésio;
## Hal    : hidrogênio mais alumínio;
## mo     : matéria orgânica;
## sb     : soma de bases;
## ctc7   : ctc em pH 7;
## ctcefet: ctc efetiva;
## V      : saturação por bases
##
agreg	fam	cinz	bloc	mfpa	mspa	ds	agua	phh2o	phkcl	pcz	P	K	CaMg	Ca	Mg	Hal	mo	sb	ctc7	ctcefet	V
[4,10]	F48	1.5	1	25.85	5.15	1.22	8429	6.70	4.90	3.10	65.37	78.37	5.80	3.50	2.3	3.2	0.9	6.00	9.24	6.00	64.96
[4,10]	F48	1.5	2	27.84	6.46	1.14	6543	6.50	5.10	3.70	79.05	97.76	5.80	4.00	1.8	3.2	1.6	6.05	9.25	6.05	65.41
[4,10]	F48	1.5	3	24.45	6.46	1.14	8110	6.60	5.40	4.20	98.66	107.37	5.40	3.80	1.6	3.9	1.6	5.68	9.58	5.68	59.27
[4,10]	F48	3	1	40.43	9.19	1.21	9758	6.60	4.90	3.20	69.13	104.23	5.60	4.60	1.0	3.2	1.5	5.87	9.10	5.87	64.44
[4,10]	F48	3	2	38.09	10.05	1.20	7558	6.40	5.10	3.80	72.97	65.71	5.60	4.40	1.2	3.3	1.6	5.77	9.07	5.77	63.61
[4,10]	F48	3	3	21.5	5.91	1.24	9526	6.80	4.90	3.00	61.15	68.11	5.60	4.00	1.6	3.9	1.3	5.77	9.67	5.77	59.69
[4,10]	F48	6	1	21.52	5.06	1.04	8242	6.30	4.90	3.50	116.80	176.33	7.00	4.70	2.3	3.6	2.8	7.45	11.07	7.45	67.32
[4,10]	F48	6	2	41.67	9.1	1.14	7592	6.50	5.10	3.70	89.19	100.16	7.00	3.90	3.1	3.5	2.6	7.26	10.76	7.26	67.46
[4,10]	F48	6	3	33.4	7.05	1.10	8396	6.50	5.00	3.50	98.66	115.38	5.50	4.30	1.2	3.9	2.4	5.80	9.70	5.80	59.78
[4,10]	F48	12	1	38.22	8.25	1.10	9861	6.50	4.90	3.30	98.22	118.34	5.20	4.10	1.1	3.6	2.4	5.50	9.12	5.50	60.34
[4,10]	F48	12	2	45.46	12.26	1.09	8832	6.60	5.10	3.60	111.49	99.36	5.20	3.60	1.6	3.2	3.1	5.45	8.65	5.45	63.03
[4,10]	F48	12	3	30.44	13.94	1.31	8658	6.30	5.10	3.90	77.60	97.76	4.90	3.90	1.0	3.9	2.4	5.15	9.05	5.15	56.91
[4,10]	F48	24	1	49.71	9.49	0.99	6559	6.40	4.90	3.40	120.22	151.25	6.40	4.30	2.1	3.6	4.0	6.79	10.41	6.79	65.23
[4,10]	F48	24	2	33.58	7.47	1.01	7651	6.30	5.10	3.90	113.00	155.45	6.40	4.80	1.6	3.3	3.8	6.80	10.10	6.80	67.32
[4,10]	F48	24	3	34.89	7.19	1.09	7858	6.50	5.10	3.70	115.62	167.47	5.80	5.60	0.2	3.1	4.1	6.23	9.33	6.23	66.77
[4,10]	F48	48	1	54.87	12.23	1.06	7148	6.40	5.00	3.60	105.87	148.90	5.80	4.10	1.7	3.6	4.0	6.18	9.80	6.18	63.08
[4,10]	F48	48	2	38.79	8.86	1.01	8795	6.40	5.10	3.80	102.40	118.59	5.80	3.30	2.5	3.3	3.8	6.10	9.40	6.10	64.91
[4,10]	F48	48	3	29.51	6.57	1.07	8170	6.50	5.10	3.70	71.94	60.10	5.10	3.60	1.5	3.1	1.0	5.25	8.35	5.25	62.89
[0,2]	F29	0	1	30.18	8.38	1.19	7792	6.50	5.00	3.50	97.68	71.32	5.90	4.10	1.8	3.6	2.0	6.08	9.70	6.08	62.71
[0,2]	F29	0	2	34.54	7.11	1.24	3827	6.60	5.20	3.80	68.92	55.29	5.90	4.10	1.8	3.3	1.0	6.04	9.34	6.04	64.67
[0,2]	F29	0	3	36.3	9.28	1.22	5444	6.40	5.30	4.20	79.00	59.10	5.90	4.00	1.9	3.4		6.00	9.00	6.00	66.67
[0,2]	F29	1.5	1	45	11.5	1.18	7228	6.70	5.00	3.30	92.49	90.13	5.50	4.20	1.3	3.2	1.0	5.73	8.97	5.73	63.90
[0,2]	F29	1.5	2	30.33	7.38	1.21	6700	6.60	5.20	3.80	68.92	56.09	5.50	4.10	1.4	3.6	1.0	5.64	9.24	5.64	61.06
[0,2]	F29	1.5	3	47.92	10.92	1.22	5485	6.50	5.00	3.50	78.00	80.00	5.50	4.10	1.4	3.4	1.0	5.60	9.00	5.60	62.22
[0,2]	F29	3	1	26.93	6.75	1.27	7508	6.40	5.00	3.60	48.70	128.53	5.40	4.10	1.3	3.2	1.0	5.73	8.97	5.73	63.90
[0,2]	F29	3	2	45.04	12.26	1.23	5410	6.60	5.10	3.60	73.40	41.67	5.40	3.90	1.5	3.6	1.1	5.51	9.11	5.51	60.47
[0,2]	F29	3	3	47.25	9.06	1.36	4922	6.40	5.10	3.80	82.22	66.51	5.50	4.20	1.3	3.1	1.0	5.67	8.77	5.67	64.65
[0,2]	F29	6	1	57.56	12.43	1.13	5066	6.50	5.00	3.50	91.87	90.13	6.30	4.50	1.8	3.2	1.0	6.53	9.77	6.53	66.86
[0,2]	F29	6	2	56.85	12.01	1.13	4900	6.60	5.20	3.80	127.70	62.50	6.30	3.40	2.9	3.6	0.7	6.46	10.06	6.46	64.22
[0,2]	F29	6	3	45.51	9.66	1.31	3990	6.60	5.20	3.80	69.37	57.69	5.40	3.60	1.8	3.1	1.1	5.55	8.65	5.55	64.15
[0,2]	F29	12	1	52.81	9.77	1.13	3548	6.50	5.00	3.50	93.03	72.10	5.40	3.90	1.5	3.2	1.1	5.58	8.82	5.58	63.31
[0,2]	F29	12	2	33.65	7.86	1.20	4822	6.50	5.20	3.90	97.30	86.54	5.40	3.00	2.4	3.6	1.2	5.62	9.22	5.62	60.96
[0,2]	F29	12	3	60.38	11.16	1.16	4521	6.40	5.20	4.00	100.72	84.13	5.80	3.90	1.9	3.1	1.1	6.02	9.12	6.02	65.99
[0,2]	F29	24	1	65.58	13.45	1.19	4698	6.60	5.00	3.40	45.15	48.59	4.70	3.50	1.2	2.9	1.0	4.82	7.72	4.82	62.48
[0,2]	F29	24	2	61.48	14.17	1.09	5143	6.70	5.20	3.70	97.30	85.74	4.70	3.80	0.9	3.6	1.1	4.92	8.52	4.92	57.75
[0,2]	F29	24	3	55.47	11.76	1.11	4656	6.40	5.20	4.00	89.41	66.51	5.50	3.50	2.0	3.1	1.1	5.67	8.77	5.67	64.65
[0,2]	F29	48	1	59.67	11.77	1.07	4595	6.50	5.00	3.50	79.17	78.37	5.90	4.30	1.6	2.9	1.2	6.10	9.00	6.10	67.81
[0,2]	F29	48	2	67.71	10.9	1.06	5677	6.60	5.30	4.00	70.95	72.92	5.90	3.80	2.1	3.6	1.4	6.09	9.69	6.09	62.84
[0,2]	F29	48	3	53.51	11.93	1.13	4388	6.50	5.20	3.90	74.51	73.72	5.30	4.00	1.3	3.1	1.2	5.49	8.59	5.49	63.91
[0,2]	F48	0	1	61.91	13.45	1.31	4954	6.50	5.00	3.50	71.30	85.42	5.40	3.90	1.5	3.2	1.2	5.62	8.86	5.62	63.45
[0,2]	F48	0	2	22.92	5.6	1.23	7786	6.60	5.30	4.00	133.78	119.39	5.40	3.00	2.4	3.6	1.1	5.71	9.31	5.71	61.32
[0,2]	F48	0	3	55.7	12.81	1.23	4688	6.30	5.20	4.10	104.32	72.12	5.50	4.20	1.3	3.1	1.3	5.68	8.78	5.68	64.71
[0,2]	F48	1.5	1	63.72	12.36	1.45	4338	6.70	5.00	3.30	36.61	56.43	6.70	4.20	2.5	3.2	1.3	6.84	10.08	6.84	67.89
[0,2]	F48	1.5	2	39.11	8.28	1.05	5261	6.60	5.30	4.00	111.49	122.60	6.70	4.20	2.5	3.6	2.0	7.01	10.61	7.01	66.08
[0,2]	F48	1.5	3	34.33	6.23	1.31	3420	6.30	5.20	4.10	120.76	80.13	6.00	3.30	2.7	3.1	1.6	6.21	9.31	6.21	66.69
[0,2]	F48	3	1	54.06	13.13	1.24	7104	6.60	5.00	3.40	75.41	107.37	5.80	3.90	1.9	3.2	2.8	6.08	9.31	6.08	65.24
[0,2]	F48	3	2	29.15	6.25	1.24	5347	6.70	5.30	3.90	83.11	95.35	5.80	3.50	2.3	3.6	1.7	6.04	9.64	6.04	62.67
[0,2]	F48	3	3	60.2	13.21	1.38	4182	6.50	5.20	3.90	88.39	52.08	4.10	3.30	0.8	3.1	1.6	4.23	7.33	4.23	57.73
[0,2]	F48	6	1	15.8	3	1.21	5590	6.40	5.10	3.80	86.89	172.41	5.70	4.40	1.3	3.2	2.0	6.14	9.38	6.14	65.49
[0,2]	F48	6	2	53.35	9.9	1.24	4154	6.60	5.30	4.00	403.38	159.46	5.70	4.30	1.4	3.6	3.9	6.11	9.71	6.11	62.92
[0,2]	F48	6	3	29.32	7.56	1.22	6142	6.60	5.20	3.80	78.11	55.29	5.30	3.70	1.6	3.1	1.9	5.44	8.54	5.44	63.71
[0,2]	F48	12	1	69.57	12.5	1.15	5422	6.40	5.10	3.80	90.37	131.66	6.00	4.20	1.8	3.2	2.9	6.34	9.57	6.34	66.19
[0,2]	F48	12	2	61.01	12.77	1.01	5560	6.40	5.30	4.20	229.05	197.92	6.00	3.80	2.2	3.6	2.6	6.51	10.11	6.51	64.38
[0,2]	F48	12	3	15.83	3.61	1.18	8026	6.50	5.20	3.90	102.77	193.11	4.80	3.80	1.0	3.1	2.8	5.30	8.40	5.30	63.07
[0,2]	F48	24	1	50.29	9.05	1.09	4406	6.40	5.10	3.80	82.86	220.22	5.80	4.60	1.2	3.2	4.1	6.36	9.60	6.36	66.29
[0,2]	F48	24	2	68.55	13.7	0.97	5897	6.50	5.30	4.10	107.43	169.87	5.80	3.10	2.7	3.6	2.7	6.24	9.84	6.24	63.40
[0,2]	F48	24	3	34.48	8.04	0.86	8022	6.40	5.20	4.00	145.50	192.31	4.90	4.50	0.4	3.3	4.1	5.39	8.69	5.39	62.04
[0,2]	F48	48	1	61.3	14.11	1.05	6124	6.60	5.10	3.60	69.19	123.04	5.60	4.90	0.7	3.9	2.7	5.92	9.82	5.92	60.27
[0,2]	F48	48	2	80.55	18	1.04	6602	6.70	5.30	3.90	156.08	157.85	5.60	3.60	2.0	3.6	3.9	6.00	9.60	6.00	62.52
[0,2]	F48	48	3	57.83	13.08	1.02	5109	6.40	5.20	4.00	138.60	146.63	5.30	4.10	1.2	3.3	3.1	5.68	8.98	5.68	63.24
