placa	genotipo	meio	tipo	n_explant	n_ex_ox	n_ex_calo	n_ex_sdes	n_ex_int	n_ex_cbac	prop_ox	prop_calo	prop_sdes	prop_int	prop_cbac
90	GN	M5	T5	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
91	GN	M5	T6	8	0	6	0	2	0	0.00	0.75	0.00	0.25	0.00
92	GN	M5	T6	8	1	3	1	4	0	0.13	0.38	0.13	0.50	0.00
93	GN	M5	T7	8	0	0	5	3	0	0.00	0.00	0.63	0.38	0.00
94	GN	M5	T7	6	0	0	0	6	0	0.00	0.00	0.00	1.00	0.00
97	GN	M5	T8	8	0	5	0	3	0	0.00	0.63	0.00	0.38	0.00
98	GN	M5	T8	8	0	4	0	4	0	0.00	0.50	0.00	0.50	0.00
101	GN	M6	T1	8	0	3	0	5	0	0.00	0.38	0.00	0.63	0.00
102	GN	M6	T1	8	7	4	0	8	0	0.88	0.50	0.00	1.00	0.00
103	GN	M6	T2	8	0	8	0	0	0	0.00	1.00	0.00	0.00	0.00
104	GN	M6	T2	8	0	8	0	0	0	0.00	1.00	0.00	0.00	0.00
105	GN	M6	T3	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
106	GN	M6	T3	8	6	0	8	0	0	0.75	0.00	1.00	0.00	0.00
107	GN	M6	T4	8	2	8	0	0	0	0.25	1.00	0.00	0.00	0.00
108	GN	M6	T4	9	0	3	0	6	0	0.00	0.33	0.00	0.67	0.00
109	GN	M6	T5	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
110	GN	M6	T5	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
111	GN	M6	T6	8	3	4	0	4	0	0.38	0.50	0.00	0.50	0.00
112	GN	M6	T6	8	2	3	0	5	0	0.25	0.38	0.00	0.63	0.00
113	GN	M6	T7	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
114	GN	M6	T7	8	0	0	0	8	8	0.00	0.00	0.00	1.00	1.00
117	GN	M6	T8	9	0	8	0	1	0	0.00	0.89	0.00	0.11	0.00
118	GN	M6	T8	8	0	1	0	8	0	0.00	0.13	0.00	1.00	0.00
121	GN	M7	T1	8	2	6	0	2	0	0.25	0.75	0.00	0.25	0.00
122	GN	M7	T1	8	0	0	4	4	0	0.00	0.00	0.50	0.50	0.00
123	GN	M7	T2	11	0	11	0	0	0	0.00	1.00	0.00	0.00	0.00
124	GN	M7	T2	8	1	2	0	6	0	0.13	0.25	0.00	0.75	0.00
125	GN	M7	T3	8	0	6	0	2	0	0.00	0.75	0.00	0.25	0.00
126	GN	M7	T3	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
127	GN	M7	T4	8	0	8	0	0	0	0.00	1.00	0.00	0.00	0.00
128	GN	M7	T4	8	0	2	0	0	0	0.00	0.25	0.00	0.00	0.00
129	GN	M7	T5	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
130	GN	M7	T5	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
131	GN	M7	T6	8	0	4	0	4	0	0.00	0.50	0.00	0.50	0.00
132	GN	M7	T6	9	0	2	0	7	0	0.00	0.22	0.00	0.78	0.00
133	GN	M7	T7	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
134	GN	M7	T7	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
137	GN	M7	T8	8	0	8	0	0	0	0.00	1.00	0.00	0.00	0.00
138	GN	M7	T8	8	0	2	0	6	0	0.00	0.25	0.00	0.75	0.00
141	PA	M1	T1	8	8	0	0	0	0	1.00	0.00	0.00	0.00	0.00
142	PA	M1	T1	8	8	0	4	0	1	1.00	0.00	0.50	0.00	0.13
143	PA	M1	T2	8	8	0	0	0	0	1.00	0.00	0.00	0.00	0.00
144	PA	M1	T2	8	8	0	8	0	0	1.00	0.00	1.00	0.00	0.00
145	PA	M1	T3	9	9	0	0	9	0	1.00	0.00	0.00	1.00	0.00
146	PA	M1	T3	9	8	0	8	0	0	0.89	0.00	0.89	0.00	0.00
147	PA	M1	T4	8	8	0	0	8	0	1.00	0.00	0.00	1.00	0.00
148	PA	M1	T4	8	8	0	4	0	4	1.00	0.00	0.50	0.00	0.50
149	PA	M1	T5	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
150	PA	M1	T5	8	0	0	7	0	1	0.00	0.00	0.88	0.00	0.13
151	PA	M1	T6	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
152	PA	M1	T6	8	4	0	4	0	5	0.50	0.00	0.50	0.00	0.63
153	PA	M1	T7	8	2	0	0	8	0	0.25	0.00	0.00	1.00	0.00
154	PA	M1	T7	8	0	0	8	0	0	0.00	0.00	1.00	0.00	0.00
157	PA	M1	T8	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
158	PA	M1	T8	8	7	0	7	0	1	0.88	0.00	0.88	0.00	0.13
161	PA	M2	T1	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
162	PA	M2	T1	8	0	0	0	0	8	0.00	0.00	0.00	0.00	1.00
163	PA	M2	T2	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
164	PA	M2	T2	8	0	2	0	0	6	0.00	0.25	0.00	0.00	0.75
165	PA	M2	T3	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
166	PA	M2	T3	8	3	0	0	0	8	0.38	0.00	0.00	0.00	1.00
167	PA	M2	T4	8	0	1	0	4	4	0.00	0.13	0.00	0.50	0.50
168	PA	M2	T4	8	6	1	0	0	1	0.75	0.13	0.00	0.00	0.13
169	PA	M2	T5	8	0	1	0	8	0	0.00	0.13	0.00	1.00	0.00
170	PA	M2	T5	8	4	1	4	0	3	0.50	0.13	0.50	0.00	0.38
171	PA	M2	T6	7	0	0	0	7	0	0.00	0.00	0.00	1.00	0.00
172	PA	M2	T6	7	0	3	0	0	5	0.00	0.43	0.00	0.00	0.71
173	PA	M2	T7	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
174	PA	M2	T7	8	0	0	0	0	8	0.00	0.00	0.00	0.00	1.00
177	PA	M2	T8	8	0	1	0	8	0	0.00	0.13	0.00	1.00	0.00
178	PA	M2	T8	7	0	2	0	0	5	0.00	0.29	0.00	0.00	0.71
181	PA	M3	T1	8	4	4	0	5	0	0.50	0.50	0.00	0.63	0.00
182	PA	M3	T1	8	0	0	0	0	8	0.00	0.00	0.00	0.00	1.00
183	PA	M3	T2	9	3	6	0	6	0	0.33	0.67	0.00	0.67	0.00
184	PA	M3	T2	8	8	7	0	0	1	1.00	0.88	0.00	0.00	0.13
185	PA	M3	T3	8	0	8	0	8	0	0.00	1.00	0.00	1.00	0.00
186	PA	M3	T3	8	0	0	0	0	8	0.00	0.00	0.00	0.00	1.00
187	PA	M3	T4	8	0	5	0	7	0	0.00	0.63	0.00	0.88	0.00
188	PA	M3	T4	8	4	3	4	0	1	0.50	0.38	0.50	0.00	0.13
189	PA	M3	T5	8	3	1	0	1	0	0.38	0.13	0.00	0.13	0.00
190	PA	M3	T5	8	0	2	0	0	6	0.00	0.25	0.00	0.00	0.75
191	PA	M3	T6	8	0	4	0	4	0	0.00	0.50	0.00	0.50	0.00
192	PA	M3	T6	8	1	5	0	0	3	0.13	0.63	0.00	0.00	0.38
193	PA	M3	T7	9	2	2	0	4	0	0.22	0.22	0.00	0.44	0.00
194	PA	M3	T7	8	0	0	0	0	8	0.00	0.00	0.00	0.00	1.00
197	PA	M3	T8	8	0	6	0	8	0	0.00	0.75	0.00	1.00	0.00
198	PA	M3	T8	9	2	7	0	0	0	0.22	0.78	0.00	0.00	0.00
201	PA	M4	T1	8	0	1	0	8	0	0.00	0.13	0.00	1.00	0.00
202	PA	M4	T1	8	0	0	0	0	8	0.00	0.00	0.00	0.00	1.00
203	PA	M4	T2	8	0	1	0	8	0	0.00	0.13	0.00	1.00	0.00
204	PA	M4	T2	9	0	2	0	0	7	0.00	0.22	0.00	0.00	0.78
205	PA	M4	T3	8	0	1	0	0	0	0.00	0.13	0.00	0.00	0.00
206	PA	M4	T3	9	0	0	0	0	9	0.00	0.00	0.00	0.00	1.00
207	PA	M4	T4	8	0	0	0	7	0	0.00	0.00	0.00	0.88	0.00
208	PA	M4	T4	9	3	6	0	0	3	0.33	0.67	0.00	0.00	0.33
209	PA	M4	T5	6	6	0	0	6	0	1.00	0.00	0.00	1.00	0.00
210	PA	M4	T5	8	0	2	0	0	6	0.00	0.25	0.00	0.00	0.75
211	PA	M4	T6	8	0	1	0	8	0	0.00	0.13	0.00	1.00	0.00
212	PA	M4	T6	10	0	0	0	0	10	0.00	0.00	0.00	0.00	1.00
213	PA	M4	T7	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
214	PA	M4	T7	8	0	0	0	0	8	0.00	0.00	0.00	0.00	1.00
217	PA	M4	T8	8	1	3	0	8	0	0.13	0.38	0.00	1.00	0.00
218	PA	M4	T8	8	2	2	2	0	2	0.25	0.25	0.25	0.00	0.25
221	PA	M5	T1	8	0	2	0	8	0	0.00	0.25	0.00	1.00	0.00
222	PA	M5	T1	8	0	3	0	0	5	0.00	0.38	0.00	0.00	0.63
223	PA	M5	T2	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
224	PA	M5	T2	8	2	3	2	0	3	0.25	0.38	0.25	0.00	0.38
225	PA	M5	T3	8	0	4	0	8	0	0.00	0.50	0.00	1.00	0.00
226	PA	M5	T3	8	0	2	0	0	6	0.00	0.25	0.00	0.00	0.75
227	PA	M5	T4	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
228	PA	M5	T4	9	0	5	0	0	4	0.00	0.56	0.00	0.00	0.44
229	PA	M5	T5	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
230	PA	M5	T5	8	0	1	0	0	7	0.00	0.13	0.00	0.00	0.88
231	PA	M5	T6	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
232	PA	M5	T6	9	0	3	0	0	6	0.00	0.33	0.00	0.00	0.67
233	PA	M5	T7	8	0	1	0	8	0	0.00	0.13	0.00	1.00	0.00
234	PA	M5	T7	8	0	0	0	0	8	0.00	0.00	0.00	0.00	1.00
237	PA	M5	T8	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
238	PA	M5	T8	8	0	5	0	0	3	0.00	0.63	0.00	0.00	0.38
241	PA	M6	T1	8	7	1	0	8	0	0.88	0.13	0.00	1.00	0.00
242	PA	M6	T1	8	8	0	8	0	0	1.00	0.00	1.00	0.00	0.00
243	PA	M6	T2	8	0	1	0	8	0	0.00	0.13	0.00	1.00	0.00
244	PA	M6	T2	8	6	2	6	0	0	0.75	0.25	0.75	0.00	0.00
245	PA	M6	T3	8	2	0	0	8	0	0.25	0.00	0.00	1.00	0.00
246	PA	M6	T3	8	0	0	0	0	8	0.00	0.00	0.00	0.00	1.00
247	PA	M6	T4	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
248	PA	M6	T4	9	2	2	0	0	7	0.22	0.22	0.00	0.00	0.78
249	PA	M6	T5	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
250	PA	M6	T5	8	0	0	0	0	8	0.00	0.00	0.00	0.00	1.00
251	PA	M6	T6	8	0	3	0	8	0	0.00	0.38	0.00	1.00	0.00
252	PA	M6	T6	9	0	0	0	0	9	0.00	0.00	0.00	0.00	1.00
253	PA	M6	T7	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
254	PA	M6	T7	9	0	0	0	0	9	0.00	0.00	0.00	0.00	1.00
257	PA	M6	T8	8	0	2	0	8	0	0.00	0.25	0.00	1.00	0.00
258	PA	M6	T8	8	0	6	0	0	2	0.00	0.75	0.00	0.00	0.25
261	PA	M7	T1	8	2	5	0	8	0	0.25	0.63	0.00	1.00	0.00
262	PA	M7	T1	8	0	0	0	0	8	0.00	0.00	0.00	0.00	1.00
263	PA	M7	T2	8	0	3	0	8	0	0.00	0.38	0.00	1.00	0.00
264	PA	M7	T2	8	0	4	0	0	4	0.00	0.50	0.00	0.00	0.50
265	PA	M7	T3	8	0	7	0	8	0	0.00	0.88	0.00	1.00	0.00
266	PA	M7	T3	8	0	0	0	0	8	0.00	0.00	0.00	0.00	1.00
267	PA	M7	T4	8	0	3	0	8	0	0.00	0.38	0.00	1.00	0.00
268	PA	M7	T4	8	0	4	0	0	4	0.00	0.50	0.00	0.00	0.50
269	PA	M7	T5	8	0	0	0	8	0	0.00	0.00	0.00	1.00	0.00
270	PA	M7	T5	8	0	0	0	0	8	0.00	0.00	0.00	0.00	1.00
271	PA	M7	T6	8	0	3	0	8	0	0.00	0.38	0.00	1.00	0.00
272	PA	M7	T6	8	0	0	0	0	8	0.00	0.00	0.00	0.00	1.00
273	PA	M7	T7	8	8	0	0	0	0	1.00	0.00	0.00	0.00	0.00
274	PA	M7	T7	8	0	0	0	0	8	0.00	0.00	0.00	0.00	1.00
277	PA	M7	T8	7	0	6	0	7	0	0.00	0.86	0.00	1.00	0.00
278	PA	M7	T8	9	8	1	8	0	0	0.89	0.11	0.89	0.00	0.00
