#------------------------------------------------------------------------------------------
# Dados de massa de dimensão de frutos de goaiaba em função dos dias após a antese
# amostras são destrutivas e portanto não é um estudo longitudinal
# daa: período após antese (dias)
# coleta: índice da coleta
# rep: índice do fruto na coleta
# long: comprimento longitudinal (mm)
# trans: comprimento transversal (mm)
# peso: peso do fruto em gramas
# volume:  volume do fruto (?unidade)
# dados Elaine Cristina Cabrini, Pós Graduação - UFV
#------------------------------------------------------------------------------------------
daa	coleta	rep	long	trans 	peso	volume
88	6	11	50.29	37.38	55.67	NA
88	6	12	58.3	43.38	38.07	NA
88	6	13	63.05	47.72	69.38	NA
88	6	14	53.12	38.99	40.58	NA
88	6	15	63.18	44.53	67.38	NA
103	7	1	67.33	52.7	89.56	95
103	7	2	77.38	60.34	133.45	140
103	7	3	73.81	56.27	106.49	115
103	7	4	68.12	54.35	98.9	105
103	7	5	67.55	55.64	97.39	105
103	7	6	72.38	55.21	105.87	115
103	7	7	63.88	48.58	72.28	70
103	7	8	65.59	50.42	82.42	85
103	7	9	76.54	60.11	132.32	140
103	7	10	80.18	60.5	129.66	140
103	7	11	78.2	55.11	112.11	120
103	7	12	75.72	53.02	96.8	100
103	7	13	62.63	49.46	74.71	80
103	7	14	65.38	50.65	82.37	90
103	7	15	78.66	60.17	139.6	150
110	8	1	70.92	63.32	138.52	160
110	8	2	75	62.64	141.1	150
110	8	3	72.31	60.28	124.1	120
110	8	4	85.45	65.77	172.81	180
110	8	5	84.61	59.59	136.45	150
110	8	6	77.38	63.67	141.59	160
110	8	7	73.54	63.12	145.38	160
110	8	8	80.77	67.32	165.66	180
110	8	9	77.06	61.8	128.61	140
110	8	10	73.68	66.4	143.71	160
110	8	11	76.09	61.32	125.95	140
110	8	12	72.92	62.47	133.4	150
110	8	13	75.11	66.08	155.88	180
110	8	14	75.45	65.05	156.87	180
110	8	15	77.62	64.76	164.59	180
117	9	1	84.51	71.44	223.25	230
117	9	2	88.99	71.99	224.93	225
117	9	3	77.8	65.21	170.05	195
117	9	4	75.92	64.52	153.65	185
117	9	5	85.38	70.42	203.16	230
117	9	6	81.86	70.55	193.77	220
117	9	7	78.75	66.54	160	200
117	9	8	85.59	72.3	227.52	270
117	9	9	91.25	78	252.58	295
117	9	10	91.81	73.95	249.3	290
117	9	11	82.52	68.46	196.4	230
117	9	12	83.81	75.51	232.32	250
117	9	13	84.68	69.27	173.55	200
117	9	14	90.59	73.71	254.93	280
117	9	15	81.08	66.31	178.42	200
124	10	1	87.47	69.71	201.54	250
124	10	2	80.91	66.14	185.34	200
124	10	3	83.42	70.22	195.57	210
124	10	4	94.65	78.71	260.63	310
124	10	5	85.62	68.83	181.42	210
124	10	6	88.79	72.11	211.72	225
124	10	7	85.47	70.51	203.87	220
124	10	8	83.6	75.25	204.53	265
124	10	9	75.76	71.74	179.15	235
124	10	10	82.39	69.23	201.29	220
124	10	11	90.04	79.07	269.34	300
124	10	12	101.07	76.83	291.3	310
124	10	13	98.82	69.78	202.22	220
124	10	14	83.75	70.83	217.94	230
124	10	15	70.87	67.34	144.27	170
131	11	1	82.78	69.46	192.31	200
131	11	2	84.79	67.89	174.63	175
131	11	3	83.74	72.98	206.74	215
131	11	4	81.54	72.7	195.7	210
131	11	5	86.42	72.31	214.36	225
131	11	6	71.32	64.88	142.95	145
131	11	7	69.31	62.47	126.62	130
131	11	8	82.93	69.44	185.82	195
131	11	9	84.62	73.55	224.33	230
131	11	10	68.53	76.14	159.82	180
131	11	11	86.19	73.24	222.4	230
131	11	12	96.73	78.14	304.11	310
131	11	13	85.95	72.35	217.35	220
131	11	14	78.46	71.76	190.89	200
131	11	15	72.87	66.52	169.41	170
138	12	1	85.33	73.55	226.16	205
138	12	2	82.19	68.45	171.82	190
138	12	3	90.23	74.95	260.6	215
138	12	4	70.21	61.09	126.9	110
138	12	5	77.45	71.55	194.75	200
138	12	6	89.31	76.24	252.47	210
138	12	7	68.8	64.34	160.6	140
138	12	8	84.57	74.71	242.65	240
138	12	9	77.09	66.28	178	140

