## Dados de responsabilidade Gasiela B. Tognon
## (http://lattes.cnpq.br/2911532137112895), programa de pós graduação
## em produção vegetal, UFPR, 2014. O experimento foi conduzido para
## avaliar o efeito do calor de campo sob caracteristicas de hastes de
## Baccharis milleflora.
## 
## Experimento conduzido em delineamento inteiramente casualizado com
## medidas repetidas ao longo do tempo dentro das repetições (hastes).
## 
##   * dias: dias de avaliação, vida de vaso das hastes. 
##   * calor : sem calor de campo (s) e com calor de campo (c).
##   * rept: identificação das plantas. 
##   * L: define a luminosidade (L=0 preto e L=100 branco). 
##   * a e b: associam-se a cromaticidade,  (">a"=vermelho, "<a"=verde e
##       ">b"=amarelo, "<b"=azul).
##   * E: delta E, coloração como um todo, uma variável resumo.
##   * peso: hastes pesadas em cada dia de avaliação por meio de balança
##       analítica de precisão (gramas).
##   * classif: nota em escala de forma que 1) cladódios verdes brilhantes
##       sem manchas escuras (oxidação) ao longo da haste. Hastes
##       túrgidas. VIÁVEIS; 2) cladódios verdes brilhantes com manchas
##       escuras (oxidação) somente na porção basal da haste. Hastes
##       túrgidas e sem danos. VIÁVEIS; 3) cladódios apresentando manchas
##       escuras (oxidação) na porção mediana e/ou apical da haste. Hastes
##       secas (com aspecto quebradiço). DESCARTE.
dias	calor	rept	L	a	b	E	peso	classif
5	c	5	43.2	-11.54	18.33	30.2	24.85	2
5	c	6	37.1	-10.87	19.3	27.43	47.39	2
5	c	7	43.16	-10.43	18.44	29.78	27.32	2
5	c	8	38.45	-10.22	17.34	26.29	29.01	2
5	c	9	46.08	-9.28	22.07	33.69	19.27	3
5	c	10	42.21	-5.28	18.95	27.86	36.26	3
7	s	1	41.97	-9.88	15.6	26.92	45.01	2
7	s	2	42.96	-7.98	19.57	29.55	55.85	3
7	s	3	39.98	-10.87	16.9	27.08	32.44	2
7	s	4	42.78	-10.49	16.31	28.15	33.71	2
7	s	5	41.92	-11.82	17.41	28.97	37.67	2
7	s	6	41.25	-10.74	16.76	27.64	37.14	2
7	s	7	38.25	-10.06	14.18	23.88	24.64	2
7	s	8	40.9	-10.95	17.6	28.11	26.5	2
7	s	9	44.28	-12.26	20.77	32.82	50.87	2
7	s	10	39.9	-10.65	14.53	25.34	29.1	2
7	c	1	43.87	-11.23	17.68	30.05	32.27	2
7	c	2	39.34	-10.71	15.63	25.78	31.54	2
7	c	3	41.76	-11.5	17.06	28.49	25.91	2
7	c	4	43.86	-1.81	16.81	26.7	29.17	3
7	c	5	42.06	-11.33	17.79	29.08	20.76	2
7	c	6	49.81	-8.08	19.51	34.1	50.35	3
7	c	7	45.69	-9.2	21.46	32.99	29.86	3
7	c	8	44.41	-9.12	22.38	32.85	29.98	3
7	c	9	47.96	-5.56	17.69	30.96	19.05	3
7	c	10	48.54	-1.86	14.93	29.03	30.71	3
9	s	1	46.01	-11.88	25.49	37.04	42.18	3
9	s	2	42.96	-7.98	19.57	29.55	54.07	3
9	s	3	49.89	-4.82	18.57	28.52	30.41	3
9	s	4	40.46	-9.04	14.12	24.66	31.75	3
9	s	5	47.99	-9.95	28.62	36.16	35.66	2
9	s	6	45.51	-6.24	17.26	29.07	34.8	3
9	s	7	35.15	-9.24	13.91	21.71	23.2	3
9	s	8	49.58	-11.06	22.21	32.85	25.06	3
9	s	9	44.28	-12.26	20.77	32.82	47.27	3
9	s	10	39.48	-11.11	16.62	26.73	26.99	2
9	c	1	47.06	-11.15	19.01	32.94	30.18	3
9	c	2	39.34	-10.71	15.63	25.78	30.48	3
9	c	3	45.65	-8.59	22.67	33.69	25.01	3
9	c	4	43.86	-1.81	16.81	26.7	29.17	3
9	c	5	48.11	-12.27	20.45	33.7	19.8	3
9	c	6	49.81	-8.08	19.51	34.1	47.39	3
9	c	7	45.69	-9.2	21.46	32.99	27.32	3
9	c	8	44.41	-9.12	22.38	32.85	29.01	3
9	c	9	47.96	-5.56	17.69	30.96	19.05	3
9	c	10	48.54	-1.86	14.93	29.03	30.71	3
