## Experimento de responsabilidade do Prof. Dr. Milson Evaldo Serafim
## (http://lattes.cnpq.br/8676820051946774). Foram estudadas 4
## variedades de abacaxi cultivadas na presença/ausência de gesso e
## com/sem cobertura do solo. Arranjo dos fatores foi um fatorial triplo
## 4x2x2 completo em delineamento de blocos (4). As variáveis resposta são
## atributos químicos do solo. P (mg/dm³), K, Ca, Mg e CTC (cmolc/dm³),
## MO (g/kg) e V (%).
##
cober	ges	vari	blo	ph	p	k	ca	mg	mo	ctc	v
com cobertura	sem gesso	IAC Fantástico	2	4.70	74.28	0.73	2.20	0.70	22.16	3.73	68.61
com cobertura	sem gesso	IAC Fantástico	3	4.90	62.42	0.70	1.90	1.20	19.89	3.80	69.57
com cobertura	sem gesso	IAC Fantástico	4	4.60	50.56	0.71	1.70	0.50	18.18	3.11	63.61
com cobertura	sem gesso	Imperial	1	4.90	50.56	0.62	2.50		17.04	3.22	65.24
com cobertura	sem gesso	Imperial	2	5.10	56.49	0.46	1.60	0.20	18.18	2.36	57.62
com cobertura	sem gesso	Imperial	3	4.80	62.42	0.73	2.20	1.40	18.47	4.43	72.26
com cobertura	sem gesso	Imperial	4	4.90	26.83	0.59	1.70	0.90	15.91	3.29	65.74
com cobertura	com gesso	Pérola	1	5.40	210.67	0.49	2.60		17.98	3.09	67.53
com cobertura	com gesso	Pérola	2	4.50	80.21	0.70	1.90		12.19	2.80	61.00
com cobertura	com gesso	Pérola	3	4.90	92.07	0.56	2.00	1.50	19.51	4.06	73.17
com cobertura	com gesso	Pérola	4	4.80	56.49	0.56	1.60	1.00	16.16	3.26	67.98
com cobertura	com gesso	Havai	1	4.50	50.56	0.48	2.00		12.19	2.68	59.83
com cobertura	com gesso	Havai	2	4.90	80.21	0.44	3.60		17.68	4.14	70.83
com cobertura	com gesso	Havai	3	4.70	74.28	0.47	2.80	0.30	16.16	3.57	70.59
com cobertura	com gesso	Havai	4	5.10	50.56	0.30	2.60	0.50	16.16	3.50	69.59
com cobertura	com gesso	IAC Fantástico	1	4.90	264.05	0.63	2.10	1.20	16.76	3.93	72.52
com cobertura	com gesso	IAC Fantástico	2	5.00	169.16	0.50	2.20	0.70	17.37	3.50	71.85
com cobertura	com gesso	IAC Fantástico	3	4.70	56.49	0.57	1.50	1.00	12.80	3.17	69.74
com cobertura	com gesso	IAC Fantástico	4	5.10	98.00	0.47	2.10	1.80	15.24	4.47	78.57
com cobertura	com gesso	Imperial	1	5.10	127.65	0.50	2.10	0.60	14.63	3.20	70.61
com cobertura	com gesso	Imperial	2	4.40	329.28	0.49	2.20	1.90	20.12	4.69	77.51
com cobertura	com gesso	Imperial	3	5.20	86.14	0.43	2.00	1.00	18.90	3.53	69.73
com cobertura	com gesso	Imperial	4	5.10	68.35	0.56	2.10	1.20	16.16	3.86	72.21
