## Experimento com 11 tratamentos em quadrado latino conduzido pelo
## pesquisador Evane Ferreira em 1985. Foram tomadas 4 amostras por
## parcela no que diz respeito ao número total de hastes (n) e número
## total de hastes mortas por cupim ou lagarta elasmo (x). A partir dos
## números calculou-se a proporção por amostra de hastes sobreviventes
## ao ataque dos insetos. Os tratamentos foram:
##  1: iac 47, 50 sementes/m
##  2: 1 + aldrin (sulco)
##  3: 2 + carbofuran + monocrotofos
##  4: 2 + carbofuram
##  5: 2 + monocrotofos
##  6: iac 47, 30 sementes/m
##  7: 6 + aldrin (sulco) + carbofuran + monocrotofos
##  8: iac 165, 70 sementes/m
##  9: 8 + aldrin (sulco) + carbofuran + monocrotofos
## 10: iac 165, 40 sementes/m
## 11: 10 + aldrin (sulco) + carbofuran + monocrotofos
linha	coluna	trat	subamost	prophastes
5	5	10	1	0,9811
5	5	10	2	0,8611
5	5	10	3	0,9615
5	5	10	4	1
6	5	2	1	0,8421
6	5	2	2	0,8281
6	5	2	3	0,9403
6	5	2	4	0,9136
7	5	11	1	0,9123
7	5	11	2	0,9167
7	5	11	3	0,9057
7	5	11	4	0,9091
8	5	7	1	0,9583
8	5	7	2	0,9508
8	5	7	3	0,9348
8	5	7	4	0,9167
9	5	4	1	0,8824
9	5	4	2	0,8824
9	5	4	3	0,9808
9	5	4	4	0,9016
10	5	3	1	0,8983
10	5	3	2	0,85
10	5	3	3	0,8667
10	5	3	4	0,6613
11	5	1	1	0,9615
11	5	1	2	0,76
11	5	1	3	0,9434
11	5	1	4	0,8387
1	6	4	1	0,9149
1	6	4	2	0,8649
1	6	4	3	0,9365
1	6	4	4	0,9667
2	6	2	1	0,9362
2	6	2	2	0,9383
2	6	2	3	0,8955
2	6	2	4	0,8919
3	6	10	1	0,925
3	6	10	2	0,9394
3	6	10	3	0,8462
3	6	10	4	0,9706
4	6	11	1	0,9841
4	6	11	2	0,9821
4	6	11	3	0,9737
4	6	11	4	0,9231
5	6	8	1	0,8971
5	6	8	2	1
5	6	8	3	0,9138
5	6	8	4	0,9286
6	6	1	1	0,8364
6	6	1	2	0,8871
6	6	1	3	0,8431
6	6	1	4	0,9778
7	6	7	1	0,9189
7	6	7	2	0,8667
7	6	7	3	0,7872
7	6	7	4	0,9531
8	6	3	1	0,9605
8	6	3	2	0,9516
8	6	3	3	0,8833
8	6	3	4	0,9667
9	6	9	1	1
9	6	9	2	0,973
9	6	9	3	1
9	6	9	4	0,9825
10	6	5	1	0,9048
10	6	5	2	0,9091
10	6	5	3	0,7959
10	6	5	4	0,8936
11	6	6	1	0,7059
11	6	6	2	0,7222
11	6	6	3	0,9575
11	6	6	4	0,7167
1	7	6	1	0,8571
1	7	6	2	0,8929
1	7	6	3	0,25
1	7	6	4	0,6667
2	7	10	1	0,9556
2	7	10	2	0,8571
2	7	10	3	0,8421
2	7	10	4	0,9057
3	7	11	1	0,9483
3	7	11	2	0,9756
3	7	11	3	0,9787
3	7	11	4	0,9184
4	7	5	1	0,939
4	7	5	2	0,8986
4	7	5	3	0,975
4	7	5	4	0,92
5	7	2	1	0,8677
5	7	2	2	0,9643
5	7	2	3	0,9474
5	7	2	4	0,9302
6	7	9	1	0,9048
6	7	9	2	0,9444
6	7	9	3	0,9859
6	7	9	4	0,9355
7	7	8	1	0,9811
7	7	8	2	0,9592
7	7	8	3	0,9623
7	7	8	4	0,9362
8	7	1	1	0,9643
8	7	1	2	0,913
8	7	1	3	0,7931
8	7	1	4	0,9348
9	7	3	1	0,9677
9	7	3	2	1
9	7	3	3	0,9697
9	7	3	4	0,8163
10	7	7	1	0,8793
10	7	7	2	0,7692
10	7	7	3	0,6818
10	7	7	4	0,8298
11	7	4	1	0,9344
11	7	4	2	1
11	7	4	3	0,9818
11	7	4	4	0,8636
1	8	8	1	0,9783
1	8	8	2	0,9524
1	8	8	3	0,8158
1	8	8	4	0,5714
2	8	9	1	0,962
2	8	9	2	0,9677
2	8	9	3	0,9546
2	8	9	4	1
3	8	2	1	0,8929
3	8	2	2	0,9778
3	8	2	3	0,9677
3	8	2	4	0,9589
4	8	4	1	1
4	8	4	2	0,9211
4	8	4	3	0,9298
4	8	4	4	0,9891
5	8	7	1	0,8571
5	8	7	2	0,9492
5	8	7	3	0,9583
5	8	7	4	0,9846
6	8	6	1	0,8571
6	8	6	2	0,7955
6	8	6	3	0,9688
6	8	6	4	0,907
7	8	3	1	0,9867
7	8	3	2	0,7353
7	8	3	3	0,7857
7	8	3	4	0,9677
8	8	10	1	0,963
8	8	10	2	0,8889
8	8	10	3	1
8	8	10	4	0,9268
9	8	11	1	0,9722
9	8	11	2	0,9032
9	8	11	3	0,9815
9	8	11	4	0,902
10	8	1	1	0,7931
10	8	1	2	0,8594
10	8	1	3	0,625
10	8	1	4	0,9722
11	8	5	1	0,6889
11	8	5	2	0,8
11	8	5	3	0,7679
11	8	5	4	0,7174
1	9	7	1	0,8
1	9	7	2	0,7097
1	9	7	3	0,9388
1	9	7	4	0,7941
2	9	1	1	0,9219
2	9	1	2	0,6364
2	9	1	3	0,9091
2	9	1	4	0,7344
3	9	5	1	0,8269
3	9	5	2	0,8621
3	9	5	3	0,8254
3	9	5	4	0,8781
4	9	8	1	0,8824
4	9	8	2	0,8793
4	9	8	3	0,7647
4	9	8	4	0,9048
5	9	3	1	1
5	9	3	2	0,9608
5	9	3	3	0,9091
5	9	3	4	0,9718
6	9	10	1	0,8781
6	9	10	2	0,8182
6	9	10	3	0,8611
6	9	10	4	0,946
7	9	4	1	0,9702
7	9	4	2	0,9032
7	9	4	3	0,9333
7	9	4	4	0,76
8	9	11	1	0,913
8	9	11	2	1
8	9	11	3	0,9744
8	9	11	4	0,8857
9	9	6	1	0,7586
9	9	6	2	0,8261
9	9	6	3	0,8511
9	9	6	4	0,9655
10	9	9	1	0,8889
10	9	9	2	0,8409
10	9	9	3	0,925
10	9	9	4	0,7674
11	9	2	1	0,8
11	9	2	2	1
11	9	2	3	0,8372
11	9	2	4	0,7636
1	10	3	1	0,8387
1	10	3	2	0,9063
1	10	3	3	0,8571
1	10	3	4	0,6071
2	10	4	1	0,9531
2	10	4	2	0,9054
2	10	4	3	0,9623
2	10	4	4	0,9114
3	10	7	1	1
3	10	7	2	0,963
3	10	7	3	0,9556
3	10	7	4	0,9524
4	10	1	1	0,9846
4	10	1	2	0,9296
4	10	1	3	0,8548
4	10	1	4	0,9841
5	10	5	1	0,9039
5	10	5	2	0,9787
5	10	5	3	0,7755
5	10	5	4	0,9737
6	10	8	1	0,9375
6	10	8	2	1
6	10	8	3	0,8571
6	10	8	4	0,9661
7	10	2	1	0,8478
7	10	2	2	0,8462
7	10	2	3	0,8966
7	10	2	4	0,92
8	10	9	1	0,9583
8	10	9	2	0,946
8	10	9	3	1
8	10	9	4	0,9365
9	10	10	1	0,9231
9	10	10	2	1
9	10	10	3	0,9706
9	10	10	4	0,72
10	10	6	1	0,8
10	10	6	2	0,875
10	10	6	3	0,8824
10	10	6	4	0,8261
11	10	11	1	1
11	10	11	2	0,8387
11	10	11	3	0,8085
11	10	11	4	1
1	11	1	1	0,75
1	11	1	2	0,7059
1	11	1	3	0,65
1	11	1	4	0,3529
2	11	7	1	0,931
2	11	7	2	0,913
2	11	7	3	1
2	11	7	4	0,8491
3	11	4	1	0,9825
3	11	4	2	0,9216
3	11	4	3	0,9702
3	11	4	4	0,9273
4	11	10	1	0,9057
4	11	10	2	0,8718
4	11	10	3	0,9231
4	11	10	4	0,8889
5	11	9	1	0,95
5	11	9	2	0,9706
5	11	9	3	0,95
5	11	9	4	0,9697
6	11	3	1	0,9857
6	11	3	2	0,8853
6	11	3	3	0,9286
6	11	3	4	0,9575
7	11	5	1	0,8864
7	11	5	2	0,9737
7	11	5	3	0,9583
7	11	5	4	0,9375
8	11	6	1	0,8571
8	11	6	2	0,7391
8	11	6	3	1
8	11	6	4	0,8462
9	11	2	1	0,9048
9	11	2	2	0,9722
9	11	2	3	0,8254
9	11	2	4	0,9016
10	11	11	1	0,913
10	11	11	2	0,9231
10	11	11	3	0,7308
10	11	11	4	0,8929
11	11	8	1	1
11	11	8	2	0,9615
11	11	8	3	0,9184
11	11	8	4	0,881
