#------------------------------------------------------------------------------------------
# Dados de frutos de pêssego, frutos foram inoculados com patógeno, metade foi inoculado
# e causado um ferimento, na outra metade não.
# id: identificação do fruto
# fer: ferimento artificial (sim, não)
# cor0: cor no momento da inoculação
# ida0, ida48 e ida60: índice DA do fruto 0, 48 e 60 horas após a incoulação
# ms0, ms48 e ms60: massa seca do fruto (por determinação indireta) 0, 48 e 60 horas após a incoulação
# ss0, ss48 e ss60: sólidos solúveis do fruto 0, 48 e 60 horas após a incoulação
# f0, f48 e f60: resistência à penetração do fruto 0, 48 e 60 horas após a incoulação
# b0, b48 e b60: grau brix do fruto 0, 48 e 60 horas após a incoulação
# lesao48 e lesao60: diâmetro da lesão 48 e 60 horas após a incoulação
# latencia48 e latencia60: latencia do patogeno (0=ausente, 1=presente) 48 e 60 horas após a incoulação
# dados de Luciane Rozwalka, aluna do Pós Doutorado em Agronomia, UFPR
#------------------------------------------------------------------------------------------
id	fer	cor0	ida0	ida48	ida60	ms0	ms48	ms60	ss0	ss48	ss60	f0	f48	f60	b0	b48	b60	lesao48	lesao60	lat48	lat60
30	sim	32.94	1.42	0.87	0.65	14.26	6.22	12.84	6.11	1.25	5.67	6.3	4.71	1.15	12.5	13.32	11.16	27.91	43.24	0	1
31	sim	109.05	2.03	2	0.41				10.34	8.92	2.2	4.68	3.43	2.9	11.34	11.4	13.96	27.57	43.37	0	1
32	sim	38.49	1.21	0.46	0.41	17.68	15.27	7.38	7	4.66	0.25	5.63	2.88	3.33	14.56	14.67	16.14	29.8	43.36	0	1
33	sim	60.1	1.52	0.77	0.69	11.22	10.39	3.8	7.24	2.01	-2.35	6.17	5.87	5.3	11.56	13.26	13.33	32.21	48.18	1	1
34	sim	41.4	1.46	0.96	0.84	10.62	13.64	5.09	7.19	4.7	-0.75	6.51	5.21	4.62	12.83	13.29	14.59	27.98	43.78	0	1
35	sim	97.28	1.29	0.55	0.7	13.69	9.61	5.92	6.28	2.96	-1.5	5.98	4.01	3.47	13.12	14.21	13.87	31.78	46.02	1	1
36	sim	99.03	1.95	1.86	1.69		0.72		8.6	7.52	0.77	5.76	5.87	8.23	11.08	12.16	13.93	24.81	46.78	0	1
37	sim	32.55	1.68	1.08	0.9	7.56	7.5	6.82	8.73	2.74	-0.97	6.18	8.16	7.65	12.17	12.7	14.26	32.31	47.68	1	1
38	sim	111.79	1.73	1.11	0.85	8.22	9.25		8.49	5.07	-4.3	6.41	5.47	6.86	12.71	13.79	15.37	28.07	42.98	0	1
39	sim	109.14	1.5	1	0.75	10.58	9.63	3.51	7.86	4.06	-3.77	6.12	5.48	6.82	12.26	13.68	14.6	30.05	46.87	1	1
40	sim	93.37	0.98	0.31	0.29	10.82	8.09	4.15	5.95	3.62	-1.68	4.81	3.48	5.08	12.67	13.61	14.55	29.58	41.57	0	1
41	sim	42.83	0.87	0.36	0.37	15.4	9.43	5.27	5.8	3.81	1.06	4.6	3.06	2.46	12.92	13.88	14.4	27.05	44.72	1	1
42	sim	108.47	1.76	1.51	1.18	5.39	9.48	1.45	8	6.42	-4.16	6.3	5.93	9.53	12.15	13.32	15.16	27.47	43.32	0	1
43	sim	91.06	1.75	1.1	1.03	8.5	9.35		8.01	3.5	-3.03	6.73	6.53	7.73	12.96	14.21	16.66	31.59	45.86	0	1
44	sim	105.54	1.8	1.36	0.62	2.02	8.03		6.86	3.92	-6.85	5.64	1.76	7.44	9.41	9.73	13.52	31.99	45.06	0	1
45	sim	70.96	1.36	0.68	0.57	12.33	7.44	3.48	5.91	3.21	1.15	4.34	1.42	-0.08	12.36	12.7	13.25	29.53	46.88	0	1
46	sim	109.49	1.7	1.41	0.94	8.29	9.63	7.11	8.07	4.35	-0.23	6.36	4.89	6.75	12.14	12.96	14.64	29.14	44.74	0	1
47	sim	39.04	1.24	0.49	0.45	14.54	12.47	6	5.92	3.87	-0.97	5.32	4.51	5.6	12.41	13.43	14.55	25.89	41.89	0	1
48	sim	66.9	1.97	2.03	1.72				9.51	8.51	5.5	5.72	4.95	4.53	11.26	12.42	12.88	32.52	43.68	0	1
49	sim	50.45	1.46	0.97	0.94	10.23	13.31	5.81	7.21	4.36	-0.28	5.49	5.5	5.53	10.67	12.61	12.73	31.25	45.39	1	1
50	sim	106.32	1.46	0.99	0.71	9.93	10.4	5.94	7.57	4.15	-1.73	6.15	5.42	6.15	12.65	13.89	14.41	26.09	40.7	0	1
51	sim	92.53	1.8	1.71	1.39		1.96		8.77	8.89	-5.89	6.29	5.75	11.71	11.72	13.07	15.58	29.12	43.56	0	1
52	sim	111.77	2.01	1.98	1.73				9.58	5.49	-2.57	4.84	5.22	12.58	12.09	13.4	16.28	28.64	39.77	0	1
53	sim	49.33	1.3	0.36	0.38	15.53	9.57	5.28	6.23	3.63	-1.96	5.44	3.45	4.83	14.25	14.91	14.86	28.03	42.73	0	1
54	sim	71.92	1.85	1.31	1.12	1.31	6.53	3.18	7.97	4.98	-3.59	5.94	6.39	7.94	11.46	12.31	13.57	31.88	47.25	0	1
55	sim	42.53	1.13	0.41	0.34	13.98	6.67	3.79	5.66	1.57	-0.15	4.7	3.27	2.38	11.39	11.54	12.92	31.72	44.41	1	1
56	sim	103.04	1.67	0.77	0.81	12.04	12.04	5.47	7.46	3.17	-0.56	5.93	5.36	5.07	12.48	13.14	14.78	27.8	44.11	1	1
57	não	105.26	1.82	1.72	1.62	1.18	10.99	13.47	8.55	8.59	6.9	6.24	5.73	5.14	11.57	12.13	12.55	0	0	0	0
58	não	56.78	1.22	0.83	0.75	12.23	14.06	14.68	6.07	5.77	4.22	5.21	3.39	2.45	11.46	11.39	11.89	0	0	0	0
59	não	76.02	1.51	1.15	0.44	10.53	16.52	18.19	7.64	8.21	6.67	6.29	4.84	4.24	12.31	12.75	12.63	0	0	0	0
60	não	108.35	1.8	1.58	1.47	9.12	15.9	16.44	7.97	7.67	6.8	6.38	5.37	5.3	13.21	12.71	13.83	0	0	0	0
61	não	97.66	1.91	1.82	1.74	0.64	8.68	11.66	8.34	9.16	7.69	6.25	6.28	5.62	12.18	11.9	12.18	0	0	0	0
62	não	93.28	1.47	1.02	0.83	12.98	17.48	17.9	8.19	6.68	4.74	6.32	4.53	4.06	12.99	12.52	13.19	0	0	0	0
63	não	69.4	1.48	0.36	0.28	15.82	14.44	14.23	5.45	5.12	3.72	4.76	2.56	2.29	13.08	13.15	13.46	0	0	0	0
64	não	45.97	1.24	0.75	0.59	13.64	14.47	14.77	5.95	5.67	5.1	5.97	2.84	2.84	11.13	10.84	11.12	0	0	0	0
65	não	106.87	1.72	1.46	1.54	1	9.44	12.24	7.7	8.49	7.39	6.43	5.96	5.05	12.07	12.02	12.12	0	0	0	0
66	não	103.18	1.28	0.79	0.5	13.66	16.84	16.84	6.77	6.04	4.75	5.91	4.12	2.81	12.63	12.51	12.85	0	0	0	0
67	não	109.79	1.94	1.92	1.88			1.45	7.95	8.12	7.22	5.31	5.32	5.33	12.31	12.17	12.37	0	0	0	0
68	não	92.77	1.34	0.84	0.64	10.11	15.62	15.35	6.36	5.34	3.82	5.86	3.41	2.12	11.67	10.83	11	0	0	0	0
69	não	91.46	1.68	1.56	1.56	2.54	9.18	8.35	7.08	8.44	6.91	5.77	5.74	5.18	12.39	12.64	12.7	0	0	0	0
70	não	94.71	1.18	0.55	0.35	16.25	15.33	15.24	6.05	5.5	5.06	5.63	3.07	2.14	13.13	12.63	12.85	0	0	0	0
71	não	43.7	0.65	0.36	0.2	10.99	9.41	9.99	5.16	5.28	4.37	2.96	1.37	1.34	11.57	11.21	11.27	0	0	0	0
72	não	111.04	2.06	2.11	2.06				9.28	10.13	8.91	4.62	4.86	4.83	10.27	10.52	11.1	0	0	0	0
73	não	108.19	1.57	1.31	1.04	8.33	15.56	17.48	7.05	6.1	4.13	6.35	5.1	4.87	11.39	11.68	12.36	0	0	0	0
74	não	84.14	1.74	1.54	1.26	6.41	13.07	13.25	7.61	7.67	6.78	6.17	5.94	4.99	11.86	12.29	12.62	0	0	0	0
75	não	79.97	1.22	0.69	0.52	15.42	17.75	14.31	6.47	5.98	5.53	5.85	3.45	2.73	11.78	11.84	11.84	0	0	0	0
76	não	108.14	1.77	1.61	1.45	6.16	14.86	15.1	7.88	8.13	7.31	6.29	5.47	5.16	11.48	11.86	12.14	0	0	0	0
77	não	55.48	1.66	1.46	1.3	6.67	14.71	15.67	7.91	8.07	6.68	5.99	5.03	4.41	13.87	13.89	14.51	0	0	0	0
78	não	95.38	1.84	1.59	1.54	4.55	10.51	8.44	6.77	7.35	6.26	5.77	5.09	5.19	11.81	11.72	12.27	0	0	0	0
79	não	102.22	1.63	1.2	1.03	9.09	15.01	14.45	6.24	6.81	5.65	5.86	4.87	3.71	12.13	12.09	12.5	0	0	0	0
80	não	56.7	1.31	0.82	0.64	13.36	16.57	17.31	6.97	5.67	5.22	6.39	3.9	3.16	12.72	12.78	13.22	0	0	0	0
81	não	109.46	1.68	1.45	1.22	7.81	15.81	17.19	8.43	7.47	6.37	5.85	5.33	4.83	11.88	12.11	12.52	0	0	0	0
82	não	112.11	2.07	1.98	2.11				10.27	11.49	10.28	3.32	4.14	4.7	10.44	11.1	11.45	0	0	0	0
83	não	103.2	1.75	1.46	1.27	7.52	16.14	18.11	8.5	8.99	7.28	6.72	5.65	5.06	12.15	12.22	12.47	0	0	0	0
84	não	76.98	1.14	0.56	0.39	14.47	16.12	14.61	6.35	6.02	4.39	5.87	3.23	2.38	13.39	13.2	13.29	0	0	0	0
85	não	100.84	1.57	1.29	1.05	10.81	16.29	18.09	7.48	7.5	6.31	6.08	5.13	4.33	12.07	12.14	12.39	0	0	0	0
86	não	60.2	0.5	0.21	0.2	16.07	12.99		5.61	5.23		3.9	1.82		14.81	13.74		0	0	0	0
87	não	92.44	1.75	1.47	1.23	7.21	14.36	15.41	8.14	8.43	7.17	6.57	5.36	4.99	12.27	12	12.34	0	0	0	0
88	não	92.13	1.45	0.88	0.6	10.76	15.61	14.62	6.98	6.2	5.74	6.45	3.55	2.98	13.29	13.2	13.5	0	0	0	0
89	não	102.63	1.89	1.78	1.68		5.41	9.45	9.21	10.28	8.95	6.31	5.31	6.51	11.69	12.26	12.06	0	0	0	0
90	não	91.82	1.39	0.93	0.73	13.66	17.19	17.1	6.97	6.93	5.51	6.23	4.62	3.43	12.86	12.66	12.97	0	0	0	0
91	não	77.48	1.25	0.71	0.47	13.3	16.04	14.39	5.77	5.02	4.27	5.74	3.22	2.22	12.62	12.31	12.55	0	0	0	0
92	não	70.29	1.13	0.63	0.47	10.6	12.87	9.64	5.1	4.63	4.26	4.59	2.61	1.19	10.63	10.43	10.64	0	0	0	0
93	não	87.75	1.62	1.41	1.23	6.64	13.36	15.18	7.21	7.75	6.35	5.92	5.34	4.25	12.01	12.06	11.89	0	0	0	0
94	não	62.74	1.11	0.63	0.43	14.32	15.82	15.08	6.07	5.61	4.53	5.89	3.32	2.19	12.1	12.11	12.29	0	0	0	0
95	não	78.43	1.4	0.83	0.61	12.75	15.27	15.48	7.1	6.26	4.44	6.06	4.36	3.61	11.92	12.05	12.7	0	0	0	0
96	não	107.48	1.74	1.67	1.58	3.13	7.29	10.42	7.75	8.45	7.78	6.05	5.71	6.05	11.2	11.75	12.01	0	0	0	0
97	não	91.74	1.64	1.46	1.21	8.65	13.07	16.31	7	7.93	6.44	6.03	5.44	3.83	10.76	11.15	11.26	0	0	0	0
98	não	101.12	1.74	1.41	1.31	8.16	14.95	18.26	8.17	8.4	7.04	6.21	5.69	4.27	12.1	12.15	12.22	0	0	0	0
99	não	56.7	1.42	0.89	0.61	13.82	17.76	16.53	7.12	6.25	5.37	6.21	4.2	3.45	12.41	12.43	12.56	0	0	0	0
100	não	108.94	1.66	1.42	1.12	9.95	14.3	16.01	7.46	7.54	5.79	6.06	5.51	4.26	11.88	12.16	12.51	0	0	0	0
101	não	99.93	1.29	0.83	0.61	15.68	19.34	19	7.36	5.96	4.9	5.85	4.26	2.94	12.73	13.27	13.3	0	0	0	0
102	não	81.17	1.83	1.55	1.41	6.03	14.03	16.14	8.65	8.33	6.79	6.58	6	5.42	12.22	12.21	12.57	0	0	0	0
103	não	48.9	1.26	0.76	0.65	11.74	15.66	14.21	5.93	5.07	4.45	6.16	3.23	1.76	11.26	10.74	11.27	0	0	0	0
104	não	55.64	0.85	0.37	0.3	14.74	14.49	14.17	5.69	5.54	4.08	5.11	2.29	1.34	13.2	12.85	13.24	0	0	0	0
105	não	110.78	1.71	1.45	1.25	7.07	14.55	14.46	7.86	8.34	7.02	6.24	5.4	3.53	11.31	10.85	11.49	0	0	0	0
106	não	49.37	1.58	1.25	1.03	4.53	10.99	12.04	6.12	5.67	3.43	5.86	4.22	3.71	10.27	10.36	10.18	0	0	0	0
107	não	64.78	1.38	1.16	0.97	1.9	6.86	8.45	4.31	4.71	3.66	3.85	2.97	2.32	8.02	8.43	8.29	0	0	0	0
108	não	99.62	1.43	1.06	0.85	11.8	16.33	17.49	6.94	7.05	4.91	6.16	4.33	3.83	12.37	12.37	12.72	0	0	0	0
109	não	38.25	1.03	0.76	0.66	8.63	10.62	11.51	4.71	5.44	4.46	4.29	3.51	1.97	8.79	9.29	9.49	0	0	0	0
110	não	93.09	1.17	0.63	0.45	16.02	16.83	16.57	5.74	6.26	4.56	5.93	3.33	2.97	12.5	12.84	13.41	0	0	0	0
111	não	66.33	2.11	2.01	2				8.6	10.19	8.33	5.25	5.6	5.18	13.69	14.28	14.39	0	0	0	0
112	não	63.23	1.44	1.12	0.42	10.84	16.29	15.87	7.88	7.61	6.15	6.57	5.18	4.49	13.01	13.07	13.69	0	0	0	0
